address	name	area	track	work_packet	historical_identity	working_translation_unit	priority	source_model	matching_gate	next_action
0x001008dc	snes_p16_001008dc	frontend-core	frontend-ownership	frontend-ui		src/ps2/frontend_ui_recovered.cpp	P2	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze UI/GS class and global ownership; compile the corridor as EE C++
0x00100e78	snes_p16_00100e78	frontend-core	frontend-ownership	frontend-ui		src/ps2/frontend_ui_recovered.cpp	P2	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze UI/GS class and global ownership; compile the corridor as EE C++
0x00101ef0	snes_p16_00101ef0	frontend-core	frontend-ownership	frontend-ui		src/ps2/frontend_ui_recovered.cpp	P2	src/app/main_flow_recovered.c;src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze UI/GS class and global ownership; compile the corridor as EE C++
0x00102ab0	top_level_gui	frontend	frontend-ownership	frontend-ui		src/ps2/frontend_ui_recovered.cpp	P2	src/app/main_flow_recovered.c;src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze UI/GS class and global ownership; compile the corridor as EE C++
0x00103314	snes_p16_00103314	frontend-core	frontend-ownership	frontend-ui		src/ps2/frontend_ui_recovered.cpp	P2	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze UI/GS class and global ownership; compile the corridor as EE C++
0x00104418	snes_p16_00104418	frontend-core	frontend-ownership	frontend-ui		src/ps2/frontend_ui_recovered.cpp	P2	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze UI/GS class and global ownership; compile the corridor as EE C++
0x00104f18	main	frontend	frontend-ownership	frontend-lifecycle		src/app/main_frontend_recovered.cpp	P1	src/app/main_bootstrap.c;src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze path, memory-card and application globals plus object/link order
0x00106ca0	snes_p16_00106ca0	frontend-core	frontend-ownership	frontend-lifecycle		src/app/main_frontend_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze path, memory-card and application globals plus object/link order
0x0010c6f8	snes_p16_0010c6f8	frontend-core	historical-source	c4-core	C4DoScaleRotate	src/snes9x/c4_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	recover c4emu unaligned-word access, state layout and remaining PS2 deltas
0x0010cfa4	snes_p17_0010cfa4	frontend-core	historical-source	c4-core	C4TransformLines	src/snes9x/c4_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	recover c4emu unaligned-word access, state layout and remaining PS2 deltas
